name,online_order,book_table,ratings(out of 5),votes,location,dish_liked,cuisines,cost(2 People)
Beijing Bites,Yes,No,3.7,679,Rajarajeshwari Nagar,"Momos, Dragon Chicken, Hakka Noodles, Chowmein, Chop Suey, Chilli Garlic Noodles, Garlic Rice","Chinese, Thai",850
Tasty Bytes,Yes,No,3.1,245,Kumaraswamy Layout,"Paratha, Pasta","North Indian, Chinese, Momos, Rolls",300
Corner House Ice Cream,No,No,4.3,345,Banashankari,"Hot Chocolate Fudge, Vanilla Ice Cream, Fudge Cake, Chocolate Mousse","Ice Cream, Desserts",400
Biryanis And More,Yes,No,4.0,618,Jayanagar,"Prawn Biryani, Dragon Chicken, Chicken Boneless Biryani, Afghani Biryani, Mughlai Biryani, Paneer Tikka Biryani, Gongura Biryani","Biryani, North Indian, Chinese, Andhra, South Indian",750
Roving Feast,No,No,4.0,1047,Banashankari,"Pasta, Momos, Rolls, Chicken Roll, Chilli Chicken, Paneer Roll, Spaghetti","Italian, Continental, Fast Food, Chinese, Momos",450
FreshMenu,Yes,No,3.9,627,Banashankari,"Salads, Sandwiches, Salad, Thai Rice, Pasta, Noodles, Pizza","Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450
Wamama,Yes,Yes,4.2,354,Banashankari,"Sushi, Noodles, Wine, Khau Suey, Mocktails, Yakisoba, Spring Roll","Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800
Peppy Peppers,No,No,4.2,244,Banashankari,"Pasta, Pepper Pizza, Paneer Pizza, Peppy Paneer, Nachos, Supreme Pizza, Manchow Soup","Italian, North Indian, Mexican",800
Goa 0 Km,Yes,Yes,3.6,163,Kumaraswamy Layout,"Sea Food, Crab Meat, Crab Soup, Fish Curry, Chicken Cafreal, Butter Naan, Butter Chicken","Goan, Seafood, North Indian, Chinese, Biryani",800
1947,No,Yes,4.0,808,Banashankari,"Salads, Panneer Butter Masala, Rabri, Gajar Ka Halwa, Manchow Soup, Aam Panna, Tomato Basil Soup","North Indian, Chinese",850
Kabab Magic,Yes,No,4.1,1720,Basavanagudi,"Grape Juice, Chicken Grill, Chicken Tikka Roll, Shawarma Roll, Chicken Shawarama, Biryani Combo, Rolls","North Indian, Kebab, Chinese, Fast Food",400
Gustoes Beer House,No,No,4.1,868,Banashankari,"Beer, Wedges, Pizza, Nachos, Salads, Papaya Salad, Buffalo Wings","Continental, Italian, Mexican, North Indian, Chinese, Steak",1200
The Biryani Cafe,No,No,4.1,520,Banashankari,"Vegetable Biryani, Ginger Chicken, Chicken Biryani, Donne Biryani, Chicken Kebab, Egg Bhurji, Dum Biryani","Biryani, Chinese, Kebab",300
Rolls On Wheels,No,No,3.6,299,Banashankari,"Rolls, Momos, Fries, Veggie Roll, Chicken Kebab Roll, Paneer Roll, Cheese Roll","Fast Food, Rolls, Momos",300
Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1,558,Basavanagudi,"Benne Dosa, Mirchi Bajji, Filter Coffee, Poha, Tea, Butter Dosa, Crispy Dosa",South Indian,150
Upahar Sagar,No,No,3.8,39,Banashankari,Masala Dosa,"South Indian, Chinese, North Indian",350
Frozen Bottle,Yes,No,4.2,146,Banashankari,"Berryblast, Waffles, Cheesecake, Salted Caramel","Beverages, Desserts, Ice Cream",400
Meghana Foods,Yes,No,4.4,4401,Jayanagar,"Chicken Boneless Biryani, Hyderabadi Biryani, Paneer Biryani, Tandoori Chicken, Vegetable Biryani, Chicken Kebab, Raita","Biryani, North Indian, Chinese",600
Nandhini Deluxe,No,No,2.6,283,Banashankari,"Biryani, Chicken Guntur, Thali, Buttermilk, Manchurian",North Indian,600
Vi Ra's Bar and Restaurant,No,No,3.3,62,Banashankari,Chilli Chicken,"South Indian, North Indian, Chinese",800
