name,online_order,book_table,ratings(out of 5),votes,location,dish_liked,cuisines,cost(2 People)
The Spice Bazaar,No,Yes,4.2,332,Lavelle Road,"Brownie, Mutton Seekh, Salads, Rasmalai, Tandoori Aloo, Mutton Soup, Custard","North Indian, Mughlai",1000
Carnival de Goa,Yes,Yes,4.2,982,Ulsoor,"Sea Food, Spicy Crab Soup, Cocktails, Squid Fry, Prawn Curry, Lobster, Fish Curry","Goan, Mangalorean, Pizza",1000
Laughing Llama Gastropub,Yes,Yes,4.3,394,Brigade Road,"Pancakes, Cocktails, Biryani, Draught Beer, Long Island Iced Tea, Nachos, Mocktails","Finger Food, Continental, Pizza",1600
Plan B,No,No,4.2,4428,Brigade Road,"Burgers, Beer, Veg Lasagna, Peri Peri Chicken Wings, Barbecue Wings, Sandwiches, Beef Steak","American, Continental, BBQ, Steak",1200
Smaaash,No,Yes,4.2,538,MG Road,"Pizza, Nachos, Draught Beer, Pasta, Potli Biryani, Mojito, Long Island Iced Tea","North Indian, Pizza, Chinese",1500
Ging - Royal Orchid Central,Yes,Yes,4.3,225,MG Road,"Paneer Satay, Beer, Creme Brulee, Crispy Prawns",Asian,2000
The Grill House,Yes,Yes,4.1,765,Ulsoor,"Steak, Burgers, Cocktails, Beer, Buffalo Wings, Pasta, Chicken Stroganoff","American, Mexican, Italian, Steak",1200
WYT RestroPub,No,No,2.7,402,MG Road,"Tandoori Chicken, Onion Rings, Masala Peanuts, Draught Beer, Panneer Butter Masala, Cocktails","North Indian, Chinese",1000
South Parade - The Chancery Hotel,No,No,3.1,123,Lavelle Road,"Breakfast Buffet, Salads","North Indian, Continental, Chinese",1200
White Plate,No,Yes,4.2,258,MG Road,"Cocktails, Tom Yum Soup, Lobster Bisque, Lobster Risotto, Pulled Pork, Lamb, Asparagus Risotto","Thai, Continental, North Indian",1500
Desi Deck,Yes,Yes,3.9,96,Brigade Road,"Balti Gosht, Cocktails, Dal Makhani","Mughlai, North Indian, Desserts",1300
Hammered,Yes,Yes,4.7,4677,Cunningham Road,"Crispy Corn, Sangria, Chicken Satay, Masala Fries, Wood Fire Pizza, Pesto Pasta, Cocktails","North Indian, Thai, Japanese, Continental, Cafe",1300
Lobby Cafe - Radha Regent,No,Yes,3.7,177,Electronic City,"Fish, Salads, Dal Makhani, Burgers, Lunch Buffet","Continental, American, South Indian, Italian, North Indian, Chinese",1200
The Big Barbeque,No,Yes,4.7,524,Electronic City,"Panipuri, Chaat, Jalebi, Paan Kulfi, Paan Shot, Pasta, Soya Chaap","BBQ, North Indian, Continental, Chinese",1500
Fire Station,No,Yes,4.4,808,Electronic City,"Beer, Lasagne, Cocktails, Pizza, Churros, Chicken Pepper Fry, Chicken Tikka","Continental, Mexican, Burger, Desserts, Italian, Pizza, North Indian, Chinese",1200
Barbeque Nation,No,Yes,4.3,1147,Electronic City,"Chicken Grill, Paan Kulfi, Mocktails, Crispy Corn, Pasta, Fish Grill, Noodles","North Indian, European, Mediterranean, BBQ, Kebab",1600
Onesta,Yes,Yes,4.5,860,Electronic City,"Pasta, Ravioli, Potato Wedges, Jalapeno Cheeseballs, Chicken Pizza, Lasagne, Veggie Pizza","Pizza, Cafe, Italian",600
Time Traveller - Sai Vishram,Yes,No,4.2,882,Electronic City,"Salads, Veg Buffet, Dahi Vada, Pasta, Vegetarian, Halwa, Noodles","Continental, North Indian, South Indian, Chinese",1100
24@43 - The Oterra,No,Yes,4.1,268,Electronic City,"Sunday Brunch, Tea, Salads, Vegetable Biryani, Momos, Pasta, Wine","North Indian, Asian, Continental",3000
Citrus Cafe - Lemon Tree Hotel,No,Yes,3.9,285,Electronic City,"Fish, Burgers, Omelette, Pasta, Salads, Dal Makhani, Breakfast Buffet","North Indian, Continental, South Indian",2200
Keys Cafe - Keys Hotel,No,No,3.8,115,Electronic City,"Rasgulla, Kulfi, Lunch Buffet, Pasta, Biryani, Fish Curry, Fish Grill","Chinese, Continental, North Indian",1200
Bazaar - Zone By The Park,No,Yes,4.0,415,Electronic City,"Salads, Chicken Tikka, Roti, Gulab Jamun, Lunch Buffet, Pasta, Salad","Continental, South Indian, North Indian, Asian",1400
Fishing Boat - Hotel Goyal Residency,Yes,Yes,3.9,418,Electronic City,"Sea Food, Prawn Biryani, Neer Dosa, Crab Sukha, Chicken Biryani, Fish, Murgh Ghee Roast","Seafood, North Indian, Chinese, Biryani",800
Soul Indian Specialty - Svenska Design Hotel,Yes,Yes,3.7,266,Electronic City,"Cocktails, Pasta, Fish, Dal Makhani, Salads, Coffee, Babaganush","North Indian, South Indian, Asian, Italian, Continental",2000
Melange - Hotel Ekaa,Yes,Yes,3.2,426,Electronic City,"Anjal Masala Fry, Pasta, Veg Platter, Biryani, Jeera Rice, Murgh Ghee Roast, Sea Food","North Indian, Chinese, Continental, Mangalorean",900
Spotlight - The Golden Tulip,No,Yes,2.5,118,Electronic City,"Salads, Gulab Jamun, Fish Curry, Lunch Buffet","North Indian, Chinese, Continental",850
Ritz,No,No,3.5,43,Electronic City,"Salads, Gulab Jamun","North Indian, Chinese, Thai, Continental",800
The Dining Table - Sahar Pavillion,No,Yes,3.7,74,Electronic City,"Biryani, Salads, Pasta, Cheese Balls","Chinese, Continental, North Indian, Pizza, South Indian",1500
Onesta,Yes,Yes,4.5,860,Electronic City,"Pasta, Ravioli, Potato Wedges, Jalapeno Cheeseballs, Chicken Pizza, Lasagne, Veggie Pizza","Pizza, Cafe, Italian",600
Cafe Happytizing,Yes,No,4.1,351,Electronic City,"Peri Peri Fries, Nachos, Pasta, Paratha, Peri Peri Chicken Pizza, Burgers, Noodles","Cafe, Sandwich, Pizza, North Indian, Mexican",700
Biggies Burger 'n' More,Yes,No,3.9,176,Electronic City,"Burgers, Chicken Bbq Burger, Mojito, French Fries, Hot Dog, Lamb Burger, Paneer Burger","Cafe, Burger, Beverages",650
This Cafe Has No Name Cafe,Yes,No,3.2,79,Electronic City,"Sandwiches, Rolls, Coffee, Burgers, French Fries","Cafe, Beverages",500
She Brews,Yes,No,3.8,159,Electronic City,"Coffee, Sandwich, Peri Peri Fries, Peri Peri Sizzler, White Sauce Pasta","Cafe, Continental, Thai, Chinese",400
Rags on Fire,Yes,No,3.1,64,Electronic City,"Soya Chaap, Biryani",Cafe,600
Chef Baker's,Yes,No,3.8,101,Electronic City,"Pizza, Waffles, Pasta, Sandwiches, Garlic Bread, Chicken Grill, Cheese Sandwich","Bakery, Fast Food, Pizza, Burger, Cafe",600
Cuppa,Yes,No,3.0,119,Electronic City,"French Fries, Veg Burger, Pancakes, English Breakfast, Omelette","Cafe, Fast Food, Continental",700
Entree cafe,Yes,No,3.7,56,Electronic City,"Coffee, Burgers, French Fries","Cafe, Bakery, Desserts",400
Magic Oven,No,No,4.0,134,Electronic City,"Sandwiches, Burgers, Coffee, Ginger Tea, Red Velvet, Chicken Penne, White Sauce Pasta","Cafe, Desserts",400
The Hungry Shark Cafe,No,No,3.9,117,Electronic City,"Nachos, Noodles, Burgers, Tea, Fries, Pasta, Chicken Burger","Cafe, Continental, Beverages",700
Lassi Adda,Yes,No,4.0,65,Electronic City,"Sweet Lassi, Corn Sandwich","Beverages, Sandwich, Fast Food",200
FreshMenu,Yes,No,3.0,546,South Bangalore,"Burgers, Salads, Lamb Burger, Noodles, Fish, Sandwich, Cheese Burger","Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450
Empire Restaurant,Yes,No,0,0,Electronic City,"Chicken Grill, Salad, Ghee Rice","Kerala, Seafood, South Indian, Chinese, North Indian, Charcoal Chicken, Beverages",400
Lassi Resto Cafe,Yes,No,3.7,152,Electronic City,Burgers,"Beverages, Fast Food",200
Delhi Base Sri Food Court,Yes,No,3.9,505,Electronic City,"Paratha, Biryani","North Indian, South Indian, Chinese, Street Food",250
Wakhra Swaad,Yes,No,3.4,83,Electronic City,"Tandoori Roti, Soya Chaap","North Indian, Biryani, Rolls, Beverages",300
Indian Food Court,Yes,No,3.8,234,Electronic City,"Paratha, Chicken Butter Masala, Chicken Parantha, Palak Paneer, Hariyali Chicken, Thali","North Indian, Chinese, Fast Food",400
Fresh 'N' Grills,Yes,No,3.2,234,Electronic City,Aloo Paratha,"Sandwich, Salad, North Indian, Chinese",500
New Punjabi Food Corner,Yes,Yes,4.0,960,Electronic City,"Butter Chicken, Rumali Roti, Ghee Rice, Chicken Biryani, Panneer Butter Masala, Sweet Lassi, Lemon Chicken","North Indian, Chinese",500
BOX8- Desi Meals,Yes,No,4.2,564,Electronic City,"Butter Chicken, Dal Makhani, Brownie Chocolate, Sandwiches, Salad, Paratha, Rajma","North Indian, Mughlai, Fast Food",500
Swad 'E' Punjab,Yes,No,3.6,216,Electronic City,"Paneer Tikka, Butter Chicken, Paneer Kofta, Butter Naan, Panneer Butter Masala, Sweet Lassi, Masala Kulcha","North Indian, Chinese, Mughlai",500
Popular Burger,Yes,No,4.1,150,Electronic City,"Burgers, Chicken Burger, Chips, Veg Burger","Fast Food, Burger",200
Moriz Restaurant,Yes,No,3.1,1365,Electronic City,"Shawarma, Bbq Chicken, Biryani, Butter Chicken, Paneer Lababdar, Chicken Grill, Chicken Lazeez","Arabian, Seafood, North Indian, Chinese, BBQ, Biryani, Beverages",700
Burger King,Yes,No,3.8,560,Electronic City,"Burgers, Chocolate Shake, Chicken Fries, Veg Whopper, Chicken Whopper, Veg Burger, Grilled Chicken Burger","Burger, Fast Food, Beverages",600
Onesta,Yes,Yes,4.5,860,Electronic City,"Pasta, Ravioli, Potato Wedges, Jalapeno Cheeseballs, Chicken Pizza, Lasagne, Veggie Pizza","Pizza, Cafe, Italian",600
Insomniac's Delight,Yes,No,4.0,231,Electronic City,"Poha, Burgers, Maggi, Sandwiches, Cheese Burger, Aloo Sandwich","Fast Food, North Indian",300
Maa Reddy's Hyderabadi Biryani House,Yes,No,3.7,945,Electronic City,"Hyderabadi Biryani, Chicken Biryani, Vegetable Biryani","Biryani, Andhra, North Indian",500
Paradise,Yes,No,4.0,2043,Electronic City,"Mutton Biryani, Chicken Biryani, Mutton Seekh Kebab, Gajar Ka Halwa, Hyderabadi Biryani, Kebab Platter, Panneer Butter Masala","Biryani, North Indian, Kebab",800
Biryani Darbar,Yes,No,3.6,539,Electronic City,Paneer Biryani,"Biryani, Mughlai, North Indian",800
Sri Pillaiyar Bhavan,Yes,No,4.0,117,Electronic City,Egg Dosa,Chettinad,300
Parathe Wali Gali,Yes,No,3.6,332,Electronic City,"Paratha, Samosa, Paneer Parantha, Salad, Sweet Lassi, Dal Makhani, Raita","North Indian, Chinese",250
Faasos,Yes,No,4.0,138,Hosur Road,"Veggie Wrap, Chicken Wrap, Jumbo Chicken, Rolls, Chole","North Indian, Biryani, Fast Food",500
Cafe Happytizing,Yes,No,4.1,351,Electronic City,"Peri Peri Fries, Nachos, Pasta, Paratha, Peri Peri Chicken Pizza, Burgers, Noodles","Cafe, Sandwich, Pizza, North Indian, Mexican",700
King,Yes,No,3.7,570,Electronic City,Matar Paneer,"North Indian, Chinese",300
Behrouz Biryani,Yes,No,4.1,349,Electronic City,"Gulab Jamun, Chicken Biryani, Raita, Buttermilk, Haleem, Gosht Dum Biryani",Biryani,650
Hyderabadi Spice,Yes,No,4.0,593,Electronic City,"Chicken Biryani, Hyderabadi Biryani","Hyderabadi, Andhra, Chinese, Biryani",400
KFC,Yes,No,3.9,682,Electronic City,"Burgers, Fries, Potato Krisper, Chicken Bucket, Chicken Popcorn, Hot Wings, Rice Bowl","Burger, Fast Food",450
Pallavi Restaurant,Yes,Yes,3.8,490,Electronic City,Biryani,"Biryani, Chinese, Andhra",500
Kolkata Kitchen,Yes,No,3.2,231,Electronic City,"Fish Thali, Chicken Curry, Chicken Biryani, Aalo Bhaja","North Indian, Fast Food, Biryani",400
Thalassery Restaurant,Yes,No,3.8,571,Electronic City,"Thalassery Biryani, Chicken Tikka, Coffee, Tea, Tandoori Chicken, Ghee Rice, Appam","Kerala, Biryani, South Indian, North Indian, Chinese, Seafood, Juices",600
MDP Coffee House,Yes,No,3.8,62,Electronic City,"Vada, Filter Coffee",South Indian,200
Hot Attack,Yes,No,3.6,88,Electronic City,"Chicken Grill, Shawarma, Coconut Juice","North Indian, Chinese, Biryani",400
Kaaram,Yes,No,3.4,52,Electronic City,Kaaram Biryani,"Andhra, Biryani",500
Hyderabad Magic,Yes,No,3.8,237,Electronic City,"Chicken Biryani, Wings","Hyderabadi, Chinese, Biryani, Arabian",400
Ruposhi Bangla,Yes,No,4.0,159,Electronic City,"Fish, Egg Tadka, Kachori, Luchi","Bengali, Chinese, North Indian, Seafood",400
Foodies Express,Yes,No,3.7,130,Electronic City,"Naan, Shawarma, Chicken Grill, Noodles","Chinese, North Indian, Arabian, Biryani",400
Pizza Hut,Yes,No,3.2,120,Electronic City,Pizza,"Pizza, Fast Food",750
Pizza Republic,Yes,No,3.8,270,Electronic City,"Pasta, Potato Wedges, Ice Tea, Thin Crust Pizza, Supreme Pizza, Farm Pizza","Pizza, Fast Food",500
Nainital North Indian Restaurant,Yes,No,3.5,73,Electronic City,"Chole Bhature, Veg Thali",North Indian,400
Pure Punjabi,Yes,No,3.4,275,Electronic City,Noodles,"Chinese, North Indian, Fast Food",450
7 Days Restaurant,Yes,No,3.8,478,Electronic City,"Egg Noodles, Lamb Chops, Hyderabadi Chicken Dum Biryani, Gajar Ka Halwa, Al Faham Chicken, Fried Rice","North Indian, Chinese, Arabian",400
Goli Vada Pav No. 1,Yes,No,2.9,78,Electronic City,Masala Vada Pav,Street Food,150
Frozen Bottle,Yes,No,4.1,209,Electronic City,"Chips, Ferrero Rocher, Vanilla Ice Cream","Beverages, Desserts",400
Doof,Yes,No,4.0,371,Electronic City,"Pasta, Burgers, Wings, Fries","Fast Food, Beverages",450
Pimento,Yes,No,3.7,95,Electronic City,"Chicken Grill, Cheese Balls, Vegetable Noodles","Chinese, Fast Food, Italian",400
Barbeque Delight,Yes,No,3.4,173,Electronic City,"Chicken Grill, Chicken Shawarama, Tandoori Chicken, Chicken Biryani","Arabian, Kerala, Biryani, South Indian, Chinese, BBQ",650
The Rasoiya Street,Yes,Yes,4.2,1134,Electronic City,"Buttermilk, Pasta, Achari Mushroom, Paneer Tikka, Nachos, Noodles, Baked Nacho","North Indian, Continental, Mediterranean, Chinese",800
Ruchi Sagar,Yes,No,4.0,262,Electronic City,"Badam Milk, Masala Dosa, Filter Coffee, Pav Bhaji, Noodles, Idli, Chole Bhature","South Indian, North Indian, Chinese, Juices",250
New Andhra House,Yes,No,3.7,522,Electronic City,"Hyderabadi Style Biryani, Pot Biryani, Andhra Style Biryani, Buttermilk, Guntur Chicken Biryani, Chicken Vepudu, Vegetable Biryani","Andhra, Biryani, Chinese, North Indian",450
Firangi Bake,Yes,No,4.1,93,Electronic City,"Lasagne, Garlic Bread, Steak","Mexican, Italian",600
India Garden,Yes,No,3.3,211,Electronic City,"Tandoori Chicken, Burgers","North Indian, Chinese, Fast Food, Beverages",550
Royal Bengal Corner,Yes,No,3.8,307,Electronic City,"Rolls, Paratha, Panneer Butter Masala","Chinese, Fast Food, North Indian, Rolls",250
Laddoos,Yes,No,4.0,407,Electronic City,"Panipuri, Chaat, Gol Gappe, Thali, Rasgulla, Dhokla, Raj Kachori","North Indian, Street Food, Mithai",250
Food Ras,Yes,Yes,4.3,1386,Electronic City,"Chicken Majestic, Lasagne, Hara Bhara Kabab, Lassi, Biryani, Paneer Tikka, Fish","North Indian, Chinese, Japanese, European, Seafood",900
Ovenstory Pizza,Yes,No,4.0,55,Hosur Road,"Pizza, Garlic Bread",Pizza,750
Magic Bowl,Yes,No,3.6,98,Electronic City,Vegetable Biryani,"North Indian, Chinese, Arabian, Mughlai",700
NY Pizza & Waffles,Yes,No,3.1,273,Electronic City,"Pizza, Waffles","Pizza, Desserts",400
Sweet Truth,Yes,No,3.9,81,Electronic City,"Cheesecake, Chocolate Decadence, Chocolate Fantasy, Pancakes, Gulab Jamun, Chocolava Cake","Bakery, Desserts",500
Just Fresh Point,Yes,No,4.0,162,Electronic City,"Sandwiches, Chaat, Rasmalai, Pizza, Ginger Tea, Sandwich, Paratha","Street Food, American, Sandwich, Fast Food, Beverages, Burger, Desserts, Pizza",300
This Cafe Has No Name Cafe,Yes,No,3.2,79,Electronic City,"Sandwiches, Rolls, Coffee, Burgers, French Fries","Cafe, Beverages",500
Samosa Singh,Yes,No,4.0,426,Electronic City,"Samosa Chat, Tea, Aloo Samosa, Chai, Ginger Paneer, Burger Samosa, Chicken Kebab","Street Food, Beverages",150
Biriyani Zone,Yes,No,3.9,678,Electronic City,"Mutton Biryani, Tandoori Chicken, Butter Naan, Fish, Butter Chicken, Chicken Boneless Biryani, Vegetable Biryani","Biryani, North Indian, Chinese, Seafood",800
Volga Restaurant,Yes,No,3.7,294,Electronic City,"Kerala Parotta, Tandoori Chicken","North Indian, Chinese, Middle Eastern",500
The Elaichi Restaurant,Yes,No,3.6,399,Electronic City,"Momos, Butter Chicken, Fish, Rolls, Laccha Paratha, Salad, Tandoori Chicken","North Indian, Asian, Continental, Bengali, Momos",700
Sila Restaurant,Yes,No,3.8,514,Electronic City,"Mocktails, Dal Makhani, Masala Papad, Kulcha, Panneer Butter Masala, Chilli Paneer, Chicken Biryani","Chinese, Seafood, North Indian, Biryani, Desserts",750
Parampara - The Veg Kitchen,Yes,No,3.7,255,Electronic City,"Lassi, Vada Pav, Chole Bhature, Thali","North Indian, Chinese, Street Food",350
Kettle On,Yes,No,3.7,110,Electronic City,"Tea, Masala Poha, Chicken Roll, Pasta","Fast Food, Sandwich, Beverages",400
Cafe Coffee Day,Yes,No,3.2,75,Electronic City,"Coffee, Burgers, Cappuccino, Latte, Smoked Chicken Sandwich","Cafe, Fast Food",900
Just Shawarma,Yes,No,3.9,176,Electronic City,"Whole Meat Shawarma, Wheat Shawarma, Pita Bread, Malgoum Shawarma, French Fries",Arabian,300
Cafe Palnad,Yes,No,4.0,92,Electronic City,"Pizza Dosa, Chicken Kheema Dosa, Keema Dosa, Masala Dosa","South Indian, Fast Food",400
Esfahan Restaurant,Yes,No,3.5,148,Electronic City,"Rolls, Mutton Biryani, Tawa Mutton, Chicken Roll, Laccha Paratha, Tawa Chicken","North Indian, Lucknowi, Mughlai, Biryani",700
Melange - Hotel Ekaa,Yes,Yes,3.2,426,Electronic City,"Anjal Masala Fry, Pasta, Veg Platter, Biryani, Jeera Rice, Murgh Ghee Roast, Sea Food","North Indian, Chinese, Continental, Mangalorean",900
Satkar Restaurant,Yes,No,3.6,75,Electronic City,Dal Fry,"North Indian, Chinese, Biryani, Seafood",350
Marley's Bistro,Yes,No,3.9,93,Electronic City,"Burgers, Pancakes, Tea, Pasta, Coffee, Omelette, Crepe","Continental, European, Salad, Beverages, Italian, Burger",400
Hyderabad Darbar,Yes,No,3.7,100,Electronic City,Paneer Biryani,"Andhra, South Indian",700
Thanima Garden Restaurant,Yes,No,3.6,163,Electronic City,"Kadala Curry, Kerala Parotta, Tea, Paratha, Sea Food, Appam, Biryani","North Indian, Chinese, Kerala",500
Bhukkads,Yes,No,3.2,63,Electronic City,Chicken Biryani,"Chinese, North Eastern",400
Karaikudi Restaurant,Yes,No,3.7,214,Electronic City,"Paratha, Chicken Curry, Biryani",South Indian,300
Mamaji's,Yes,No,3.6,453,Electronic City,"Masala Chaach, Vegetable Biryani, Paratha, Thali, Buttermilk, Sweet Lassi, Paneer Parantha",North Indian,600
Bangaliana,Yes,No,3.0,61,Electronic City,"Luchi, Fish Fry",Bengali,600
New Food Magic,Yes,No,3.2,153,Electronic City,"Roti, Rolls, Paratha, Chicken Roll","Andhra, Chinese, North Indian, South Indian",450
Kittu's,Yes,Yes,4.2,800,Electronic City,"Murgh Lababdar, Butter Chicken, Paneer Lababdar, Dal Makhani, Afghan Chicken, Chicken Achari Tikka, Lassi",North Indian,750
Donut Cafe,Yes,No,3.9,163,Electronic City,"Donut, Brownie, Hot Chocolate, Sandwiches","Desserts, Fast Food",250
BIB - Breakfast in the Box,Yes,No,3.9,56,Electronic City,"Chicken Burger, Corn Sandwich, French Fries, Veg Burger","American, Sandwich",600
King's Appetite,Yes,No,3.7,45,Electronic City,Prompt Service,"North Indian, Chinese",500
Thanco's Natural Ice Creams,Yes,No,3.7,54,Electronic City,Belgian Chocolate,"Ice Cream, Desserts",450
A2B - Adyar Ananda Bhavan,Yes,No,3.1,352,Electronic City,"Chaat, Masala Dosa, Filter Coffee, Pav Bhaji, Curd Rice, Vada, Idli","South Indian, North Indian, Chinese, Street Food, Fast Food",400
Pot Biryani,Yes,No,2.8,297,Electronic City,"Pot Biryani, Paneer Biryani, Tandoori Chicken, Chicken Chettinad, Egg Biryani, Chicken Dum Biryani, Kulcha","North Indian, Chinese, Biryani, Seafood",600
Akkad Bakkad,Yes,Yes,3.9,72,Electronic City,"Bhuna Chicken, Mutton Biryani, Paratha","North Indian, Chinese",600
Sky Lounge Bar - Svenska Design Hotel,Yes,Yes,4.0,537,Electronic City,"Cocktails, Biryani, Noodles, Beer, Garlic Bread, Tea, Pizza","North Indian, Pizza, Asian, Italian",1500
Gilly's Restobar,No,Yes,4.3,1249,Electronic City,"Cocktails, Biryani, Roti, Beer, Chilli Pork, Pizza, Potato Wedges","Continental, North Indian, Chinese, Salad",1200
Messy's,Yes,No,3.8,108,Electronic City,"Pizza, Sandwiches, Burgers, Chaat, Panipuri",Fast Food,400
Flying Cakes,Yes,No,3.1,127,Electronic City,"Chocochip Cake, Butterscotch Cake","Bakery, Desserts",500
Domino's Pizza,Yes,No,2.7,477,Electronic City,"Garlic Bread, Thin Crust Pizza, Pizza Burger","Pizza, Fast Food",400
Petoo,Yes,No,3.6,55,Electronic City,"Biryani, Chaat","North Indian, Fast Food, Street Food",400
Kritunga Restaurant,No,Yes,3.8,473,Electronic City,"Brain Fry, Mutton Biryani, Bamboo Chicken, Chicken Biryani, Mutton Curry, Kulcha, Butter Naan","Andhra, Biryani, North Indian, Chinese",650
Sitara Veg Restaurant,Yes,No,3.9,417,Electronic City,"Masala Dosa, Chaat, Vada, Sandwiches, Filter Coffee","South Indian, North Indian, Chinese",400
Sweet Chariot,Yes,No,3.0,60,Electronic City,"Coffee, Mousse Cup","Bakery, Fast Food",500
Seasons,Yes,No,2.9,380,Electronic City,"Chilli Prawns, Barbeque Chicken, Vegetarian, Shawarma, Noodles, Roti, Mutton Biryani","North Indian, South Indian, Chinese, Seafood, Kerala, Arabian, Juices",1000
Cedar Bar & Dive - Hotel Presidency,Yes,No,3.8,49,Electronic City,Rooftop Ambience,"North Indian, Thai, Chinese, Continental",1200
Tap House Resto Bar,Yes,Yes,3.4,184,Electronic City,Masala Papad,"Chinese, North Indian, Thai",900
Apsara Ice Cream,No,No,4.0,67,Electronic City,"Panipuri, Cheesecake, Guava Ice Cream, Almond Ice Cream","Ice Cream, Desserts",200
Salt N Pepper,No,No,3.6,74,Electronic City,Fish Fry,"North Indian, Chinese",500
Green Family Bar & Restaurant,No,No,3.0,57,Electronic City,"Tandoori Chicken, Biryani, Masala Papad","North Indian, Chinese, Andhra",1000
Chinmayee's,No,No,3.1,83,Electronic City,"Chicken Lollipop, Chilli Chicken","North Indian, Chinese",700
Bhojanam Restaurant,No,No,3.6,196,Electronic City,"Biryani, Veg Thali, Chicken Tikka, Tandoori Roti, Buttermilk","Andhra, Biryani",600
The Dining Table - Sahar Pavillion,No,Yes,3.7,74,Electronic City,"Biryani, Salads, Pasta, Cheese Balls","Chinese, Continental, North Indian, Pizza, South Indian",1500
Magic Oven,No,No,4.0,134,Electronic City,"Sandwiches, Burgers, Coffee, Ginger Tea, Red Velvet, Chicken Penne, White Sauce Pasta","Cafe, Desserts",400
Swad,No,No,3.7,38,Electronic City,Malai Kofta,"North Indian, Chinese",500
Varenyam,No,No,3.7,56,Electronic City,"Filter Coffee, Dal Tadka","South Indian, North Indian",500
Sandesh Sweets & Chats,No,No,2.9,126,Electronic City,"Chaat, Rasmalai, Samosa, Pav Bhaji, Raj Kachori","South Indian, Street Food, Beverages",350
Mast Kalandar,No,No,2.4,142,Electronic City,"Gulab Jamun, Thali, Dal Makhani, Paneer Curry, Rajma",North Indian,450
The Breakfast Club,No,No,3.9,90,Electronic City,Appam,"Continental, South Indian, North Indian",400
Flavour A Azam,No,No,3.5,42,Electronic City,"Chicken Boneless Biryani, Chicken Kebab, Nati Biryani",North Indian,400
Chung Wah,No,No,2.9,95,Electronic City,"Chilli Paneer, Hakka Noodles",Chinese,500
Mustard Food Court,No,No,3.8,57,Electronic City,"Vegetable Biryani, Chicken Wings, Chicken Biryani","North Indian, Chinese",500
Onesta,Yes,Yes,4.5,863,Electronic City,"Pasta, Ravioli, Potato Wedges, Jalapeno Cheeseballs, Chicken Pizza, Lasagne, Veggie Pizza","Pizza, Cafe, Italian",600
Laddoos,No,No,2.8,124,Electronic City,"Chaat, Paratha, Thali, Panipuri, Pav Bhaji, Gajar Ka Halwa, Veg Cutlet","North Indian, Street Food, Mithai",250
Magic Oven,No,No,4.0,135,Electronic City,"Sandwiches, Burgers, Coffee, Ginger Tea, Red Velvet, Chicken Penne, White Sauce Pasta","Cafe, Desserts",400
The French Loaf,Yes,No,2.6,64,Electronic City,Swiss Roll,"Bakery, Desserts, Sandwich",400
The Big Barbeque,No,Yes,4.7,544,Electronic City,"Panipuri, Chaat, Jalebi, Paan Kulfi, Paan Shot, Pasta, Soya Chaap","BBQ, North Indian, Continental, Chinese",1500
Fire Station,No,Yes,4.4,809,Electronic City,"Beer, Lasagne, Cocktails, Pizza, Churros, Chicken Pepper Fry, Chicken Tikka","Continental, Mexican, Burger, Desserts, Italian, Pizza, North Indian, Chinese",1200
Gilly's Restobar,No,Yes,4.3,1265,Electronic City,"Cocktails, Biryani, Roti, Beer, Chilli Pork, Pizza, Potato Wedges","Continental, North Indian, Chinese, Salad",1200
46 Ounces Brewgarden,No,Yes,0,0,Electronic City,"Pizza, Craft Beer, French Fries","Bar Food, Finger Food, Pizza",1600
Onesta,Yes,Yes,4.5,863,Electronic City,"Pasta, Ravioli, Potato Wedges, Jalapeno Cheeseballs, Chicken Pizza, Lasagne, Veggie Pizza","Pizza, Cafe, Italian",600
Food Ras,Yes,Yes,4.3,1387,Electronic City,"Chicken Majestic, Lasagne, Hara Bhara Kabab, Lassi, Biryani, Paneer Tikka, Fish","North Indian, Chinese, Japanese, European, Seafood",900
The Rasoiya Street,Yes,Yes,4.2,1137,Electronic City,"Buttermilk, Pasta, Achari Mushroom, Paneer Tikka, Nachos, Noodles, Baked Nacho","North Indian, Continental, Mediterranean, Chinese",800
Queens,No,Yes,4.3,169,Electronic City,"Cocktails, Fries, Dal Makhani, Panneer Butter Masala, Chicken Nachos","North Indian, Continental, British",1400
Hyderabadi Spice,Yes,No,4.0,1369,Electronic City,"Chilli Chicken, Chicken Tikka, Paneer Biryani, Mutton Biryani, Hyderabadi Chicken Biryani, Vegetable Biryani, Lemon Chicken","Biryani, North Indian",600
Cafe Happytizing,Yes,No,4.1,354,Electronic City,"Peri Peri Fries, Nachos, Pasta, Paratha, Peri Peri Chicken Pizza, Burgers, Noodles","Cafe, Sandwich, Pizza, North Indian, Mexican",700
Republic Of Noodles - Lemon Tree Hotel,No,Yes,4.3,385,Electronic City,"Noodles, Banana Leaf Fish, Dumplings, Phad Thai, Apple Fritters, Clear Soup, Brownie","Singaporean, Chinese, Thai, Malaysian",1500
Sherlock's Pub,No,Yes,3.6,180,Electronic City,"Cocktails, Beer, Martini, French Fries","Continental, North Indian",1300
Shandys-The Beer Cocktail Hub,No,No,0,0,Electronic City,"Pizza, Beer Cocktail, Cocktails","North Indian, South Indian, Chinese, Italian",1400
